T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
23.6,27.8,19.6,1003.4,86,6.3,2.4,5.4,69.70833333333333
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
25.6,29.3,21.4,1002.9,80,6.9,8.9,20.6,62.375
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.7,28.9,21.9,1003.6,76,6.9,10.7,16.5,24.875
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.1,27.9,21.5,1006.8,79,5.5,4.3,9.4,43.95833333333334
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.5,30.1,20.9,1008.8,82,6.9,2.6,7.6,41.5
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
24.1,28.8,20.2,1009.4,83,6.3,3.9,7.6,38.79166666666666
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.2,30.2,21.2,1006.0,75,6.9,5.9,7.6,30.33333333333333
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
25.1,31.0,21.0,1006.6,75,6.9,4.4,11.1,26.66666666666667
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
26.4,31.6,20.6,1005.7,70,6.9,4.3,7.6,29.0
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
24.9,31.2,19.9,1009.5,77,5.8,2.2,5.4,61.70833333333334
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
25.1,31.0,21.0,1009.6,77,6.9,4.8,7.6,60.54166666666666
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
23.8,29.7,20.1,1009.6,75,7.7,4.3,7.6,41.583333333333336
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
24.7,29.0,20.5,1007.3,78,6.6,4.1,9.4,80.04166666666667
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
25.0,31.7,19.9,1008.8,77,6.3,1.3,3.5,82.83333333333333
24.9,32.1,19.4,1009.7,79,5.5,0.9,3.5,95.25
